#: table_doi: 10.17182/hepdata.94264.v1/t13
#: name: Figure 12 (top, left)
#: description: Differential fiducial cross section for CEP of $\pi^+\pi^-$ pairs as a function of the invariant mass of the pair, for events with $\Delta\varphi < 90$ degrees.

Systematic uncertainties assigned to data points are strongly correlated between bins and should be treated as allowed collective variation of all data points. There are two components of the total systematic uncertainty. The systematic uncertainty related to the experimental tools and analysis method is labeled "syst. (experimental)". The systematic uncertainty related to the integrated luminosity (fully correlated between all data points) is labeled "syst. (luminosity)".

Fiducial region definition:
 * central state $\pi^+$, $\pi^-$
	- $p_{\mathrm{T}} > 0.2~\mathrm{GeV}$
	- $|\eta| < 0.7$
 * intact forward-scattered beam protons $p'$
	- $p_x > -0.2~\mathrm{GeV}$
	- $0.2~\mathrm{GeV} < |p_{y}| < 0.4~\mathrm{GeV}$
	- $(p_x+0.3~\mathrm{GeV})^2 + p_y^2 < 0.25~\mathrm{GeV}^2$
 * additional cuts
	- $\Delta\varphi < 90$ degrees

#: data_file: figure_12_(top,_left).yaml
#: keyword reactions: P P --> P PI+ PI- P
#: keyword observables: DSIG/DM
#: keyword cmenergies: 200
#: keyword phrases: Exclusive | Diffractive | Cross Section | Proton-Proton Scattering | Single Differential Cross Section
#: SQRT(S) [GeV],,,200
#: LUMINOSITY [$pb^{-1}$],,,14.2
#: RE,,,P P --> P PI+ PI- P
M(PI+PI-) [GEV],M(PI+PI-) [GEV] LOW,M(PI+PI-) [GEV] HIGH,DSIG/DM [NB/GEV],stat. +,stat. -,syst. (luminosity) +,syst. (luminosity) -,syst. (experimental) +,syst. (experimental) -
1.6749999999999998,1.65,1.7,0.53604,0.099498,-0.099498,0.034215,-0.030342,0.042717,-0.038694
1.725,1.7,1.75,0.36161,0.091077,-0.091077,0.023081,-0.020468,0.023721,-0.02228
1.775,1.75,1.8,0.19984,0.07958,-0.07958,0.012756,-0.011312,0.014093,-0.013295
1.8250000000000002,1.8,1.85,0.33721,0.089205,-0.089205,0.021524,-0.019088,0.026182,-0.024397
1.875,1.85,1.9,0.6394,0.11432,-0.11432,0.040813,-0.036192,0.048712,-0.045427
1.9249999999999998,1.9,1.95,0.73127,0.11615,-0.11615,0.046677,-0.041393,0.061498,-0.055131
1.975,1.95,2.0,0.80208,0.11714,-0.11714,0.051197,-0.045401,0.067297,-0.060623
2.025,2.0,2.05,0.82983,0.12977,-0.12977,0.052968,-0.046972,0.066059,-0.058405
2.075,2.05,2.1,0.86979,0.12789,-0.12789,0.055518,-0.049233,0.060288,-0.056415
2.125,2.1,2.15,1.1517,0.13786,-0.13786,0.07351,-0.065189,0.093206,-0.084526
2.175,2.15,2.2,1.4249,0.16001,-0.16001,0.090953,-0.080656,0.11982,-0.10785
2.225,2.2,2.25,0.98959,0.12819,-0.12819,0.063165,-0.056014,0.075867,-0.069717
2.275,2.25,2.3,0.94407,0.1279,-0.1279,0.06026,-0.053438,0.086633,-0.075831
2.325,2.3,2.35,0.68367,0.11338,-0.11338,0.043638,-0.038698,0.048659,-0.045125
2.375,2.35,2.4,0.54079,0.091602,-0.091602,0.034518,-0.030611,0.041567,-0.037302
2.425,2.4,2.45,0.68257,0.10968,-0.10968,0.043568,-0.038636,0.059165,-0.053567
2.475,2.45,2.5,0.56806,0.09583,-0.09583,0.036259,-0.032154,0.048951,-0.045285
2.525,2.5,2.55,0.54384,0.089957,-0.089957,0.034713,-0.030783,0.044185,-0.040821
2.575,2.55,2.6,0.40936,0.077036,-0.077036,0.026129,-0.023171,0.028332,-0.025894
2.625,2.6,2.65,0.4015,0.079255,-0.079255,0.025628,-0.022727,0.032101,-0.029356
2.675,2.65,2.7,0.27339,0.062362,-0.062362,0.01745,-0.015475,0.019689,-0.018197
2.725,2.7,2.75,0.30447,0.067812,-0.067812,0.019434,-0.017234,0.023578,-0.021681
2.775,2.75,2.8,0.32297,0.081321,-0.081321,0.020615,-0.018281,0.03539,-0.031664
2.825,2.8,2.85,0.24893,0.062351,-0.062351,0.015889,-0.014091,0.018258,-0.01755
2.875,2.85,2.9,0.22524,0.059321,-0.059321,0.014377,-0.012749,0.017417,-0.016124
2.925,2.9,2.95,0.11675,0.040462,-0.040462,0.0074518,-0.0066082,0.0068581,-0.006955
2.975,2.95,3.0,0.11254,0.042099,-0.042099,0.0071835,-0.0063703,0.0097571,-0.0089118
3.05,3.0,3.1,0.13974,0.032276,-0.032276,0.0089193,-0.0079096,0.013539,-0.012014
3.1500000000000004,3.1,3.2,0.092632,0.026983,-0.026983,0.0059127,-0.0052433,0.007618,-0.006697
3.25,3.2,3.3,0.037047,0.016169,-0.016169,0.0023647,-0.002097,0.0024863,-0.0022073
3.3499999999999996,3.3,3.4,0.041082,0.019302,-0.019302,0.0026223,-0.0023254,0.0032671,-0.0028346
3.45,3.4,3.5,0.073118,0.023758,-0.023758,0.0046671,-0.0041388,0.0060783,-0.0056534

