#: table_doi: 10.17182/hepdata.94264.v1/t20
#: name: Figure 13 (right)
#: description: Differential fiducial cross section for CEP of $\pi^+\pi^-$ pairs as a function of the invariant mass of the pair, for events with $\Delta\varphi < 90$ degrees and $\Delta p'_{\mathrm{T}} > 0.12~\mathrm{GeV}$.

Systematic uncertainties assigned to data points are strongly correlated between bins and should be treated as allowed collective variation of all data points. There are two components of the total systematic uncertainty. The systematic uncertainty related to the experimental tools and analysis method is labeled "syst. (experimental)". The systematic uncertainty related to the integrated luminosity (fully correlated between all data points) is labeled "syst. (luminosity)".

Fiducial region definition:
 * central state $\pi^+$, $\pi^-$
	- $p_{\mathrm{T}} > 0.2~\mathrm{GeV}$
	- $|\eta| < 0.7$
 * intact forward-scattered beam protons $p'$
	- $p_x > -0.2~\mathrm{GeV}$
	- $0.2~\mathrm{GeV} < |p_{y}| < 0.4~\mathrm{GeV}$
	- $(p_x+0.3~\mathrm{GeV})^2 + p_y^2 < 0.25~\mathrm{GeV}^2$
 * additional cuts
	- $\Delta\varphi < 90$ degrees
	- $\Delta p'_{\mathrm{T}} > 0.12~\mathrm{GeV}$

#: data_file: figure_13_(right).yaml
#: keyword reactions: P P --> P PI+ PI- P
#: keyword observables: DSIG/DM
#: keyword cmenergies: 200
#: keyword phrases: Exclusive | Diffractive | Cross Section | Proton-Proton Scattering | Single Differential Cross Section
#: SQRT(S) [GeV],,,200
#: LUMINOSITY [$pb^{-1}$],,,14.2
#: RE,,,P P --> P PI+ PI- P
M(PI+PI-) [GEV],M(PI+PI-) [GEV] LOW,M(PI+PI-) [GEV] HIGH,DSIG/DM [NB/GEV],stat. +,stat. -,syst. (luminosity) +,syst. (luminosity) -,syst. (experimental) +,syst. (experimental) -
1.625,1.6,1.65,0.16843,0.07279,-0.07279,0.010751,-0.0095339,0.015691,-0.014145
1.6749999999999998,1.65,1.7,0.29341,0.07177,-0.07177,0.018729,-0.016608,0.026507,-0.02353
1.725,1.7,1.75,0.14741,0.05968,-0.05968,0.0094089,-0.0083437,0.011058,-0.010338
1.775,1.75,1.8,0.10725,0.052459,-0.052459,0.0068455,-0.0060705,0.0078178,-0.0074414
1.8250000000000002,1.8,1.85,0.15355,0.059849,-0.059849,0.0098013,-0.0086917,0.012469,-0.011557
1.875,1.85,1.9,0.34462,0.083839,-0.083839,0.021997,-0.019507,0.029569,-0.027233
1.9249999999999998,1.9,1.95,0.35342,0.07702,-0.07702,0.022558,-0.020005,0.031565,-0.028519
1.975,1.95,2.0,0.44813,0.085382,-0.085382,0.028604,-0.025366,0.040794,-0.035983
2.025,2.0,2.05,0.41551,0.08856,-0.08856,0.026522,-0.02352,0.038595,-0.032612
2.075,2.05,2.1,0.44681,0.087258,-0.087258,0.02852,-0.025291,0.035282,-0.032937
2.125,2.1,2.15,0.48771,0.086298,-0.086298,0.03113,-0.027606,0.045938,-0.040907
2.175,2.15,2.2,0.56376,0.10024,-0.10024,0.035984,-0.031911,0.052173,-0.046065
2.225,2.2,2.25,0.52664,0.090439,-0.090439,0.033615,-0.02981,0.043792,-0.040022
2.275,2.25,2.3,0.34774,0.071849,-0.071849,0.022196,-0.019683,0.03385,-0.02981
2.325,2.3,2.35,0.38442,0.088895,-0.088895,0.024537,-0.021759,0.030008,-0.027702
2.375,2.35,2.4,0.27925,0.064834,-0.064834,0.017825,-0.015807,0.02498,-0.021465
2.425,2.4,2.45,0.25929,0.067723,-0.067723,0.01655,-0.014677,0.028422,-0.025255
2.475,2.45,2.5,0.31791,0.070176,-0.070176,0.020292,-0.017995,0.031203,-0.029425
2.525,2.5,2.55,0.17767,0.047631,-0.047631,0.011341,-0.010057,0.016495,-0.015029
2.575,2.55,2.6,0.11835,0.042716,-0.042716,0.0075542,-0.006699,0.010669,-0.008805
2.625,2.6,2.65,0.19607,0.050642,-0.050642,0.012515,-0.011099,0.017614,-0.015916
2.675,2.65,2.7,0.14049,0.044064,-0.044064,0.0089673,-0.0079522,0.011077,-0.010134
2.725,2.7,2.75,0.18019,0.050586,-0.050586,0.011502,-0.0102,0.015984,-0.014663
2.775,2.75,2.8,0.16118,0.054526,-0.054526,0.010288,-0.0091232,0.017426,-0.015962
2.825,2.8,2.85,0.10544,0.036583,-0.036583,0.0067304,-0.0059685,0.0087713,-0.0088357
2.875,2.85,2.9,0.068453,0.03436,-0.03436,0.0043694,-0.0038747,0.0058963,-0.0055579
2.925,2.9,2.95,0.054465,0.025291,-0.025291,0.0034765,-0.0030829,0.0032448,-0.0030845
2.975,2.95,3.0,0.066705,0.032126,-0.032126,0.0042578,-0.0037758,0.006147,-0.0059755
3.05,3.0,3.1,0.072406,0.023314,-0.023314,0.0046216,-0.0040984,0.0091493,-0.0079297
3.1500000000000004,3.1,3.2,0.057693,0.021301,-0.021301,0.0036825,-0.0032656,0.0052055,-0.004672
3.25,3.2,3.3,0.016936,0.01091,-0.01091,0.001081,-0.00095866,0.0013397,-0.0012202
3.3499999999999996,3.3,3.4,0.010063,0.010814,-0.010814,0.0006423,-0.00056959,0.0011565,-0.00094147
3.45,3.4,3.5,0.043935,0.018147,-0.018147,0.0028044,-0.0024869,0.0040699,-0.0037719

