1.39	1.372	1.409	0.001999	+1.31E-4	-1.31E-4	+5.42E-4	-6.2E-4
1.428	1.409	1.448	0.001633	+1.14E-4	-1.14E-4	+4.42E-4	-5.01E-4
1.467	1.448	1.487	0.001471	+1.06E-4	-1.06E-4	+3.98E-4	-4.46E-4
1.507	1.487	1.529	0.001066	+8.7E-5	-8.7E-5	+2.88E-4	-3.19E-4
1.552	1.529	1.578	8.409E-4	+7.09E-5	-7.09E-5	+2.266E-4	-2.483E-4
1.603	1.578	1.63	7.474E-4	+6.55E-5	-6.55E-5	+2.01E-4	-2.173E-4
1.656	1.63	1.685	5.572E-4	+5.39E-5	-5.39E-5	+1.496E-4	-1.593E-4
1.713	1.685	1.744	4.64E-4	+4.76E-5	-4.76E-5	+1.243E-4	-1.303E-4
1.777	1.744	1.814	3.69E-4	+3.91E-5	-3.91E-5	+9.86E-5	-1.015E-4
1.851	1.814	1.893	2.161E-4	+2.79E-5	-2.79E-5	+5.76E-5	-5.8E-5
1.932	1.893	1.977	1.917E-4	+2.52E-5	-2.52E-5	+5.09E-5	-5.0E-5
2.024	1.977	2.078	1.26E-4	+1.85E-5	-1.85E-5	+3.34E-5	-3.19E-5
2.133	2.078	2.197	5.86E-5	+1.152E-5	-1.152E-5	+1.545E-5	-1.424E-5
2.272	2.197	2.367	4.122E-5	+8.34E-6	-8.34E-6	+1.081E-5	-9.5E-6
2.443	2.367	2.543	2.299E-5	+5.46E-6	-5.46E-6	+5.99E-6	-4.95E-6
