0.2319	0.2286	0.2353	4.4		+0.14	-0.14	+0.31	-0.31
0.2388	0.2353	0.2424	4.25	+0.14	-0.14	+0.31	-0.31
0.246	0.2424	0.2497	3.47	+0.13	-0.13	+0.26	-0.26
0.2535	0.2497	0.2573	2.82	+0.11	-0.11	+0.22	-0.22
0.2613	0.2573	0.2654	2.52	+0.1	-0.1	+0.2	-0.2
0.2695	0.2654	0.2738	2.142	+0.097	-0.097	+0.178	-0.178
0.2782	0.2738	0.2827	1.824	+0.086	-0.086	+0.157	-0.157
0.2873	0.2827	0.2921	1.455	+0.075	-0.075	+0.129	-0.129
0.297	0.2921	0.3021	1.257	+0.069	-0.069	+0.116	-0.116
0.3073	0.3021	0.3127	0.848	+0.055	-0.055	+0.081	-0.081
0.3182	0.3127	0.324	0.633	+0.046	-0.046	+0.063	-0.063
0.3299	0.324	0.3361	0.558	+0.043	-0.043	+0.058	-0.058
0.3425	0.3361	0.3492	0.417	+0.038	-0.038	+0.045	-0.045
0.3561	0.3492	0.3634	0.269	+0.027	-0.027	+0.03	-0.03
0.3709	0.3634	0.3789	0.235	+0.025	-0.025	+0.028	-0.028
