Path: /HepData/8531/d5-x1-y1
The differential cross section as a function of T for elastic P P scattering at a centre of mass energy of 62.5 GeV

RE : P P --> P P
SQRT(S) : 62.5 GeV
x : -T IN GEV**2
y : D(SIG)/DT IN MB/GEV**2
xdesc	x	xlow	xhigh	y	dy+	dy-	
	1.775	1.775	1.775	5.59E-5	+6.71E-6	-6.71E-6
	1.825	1.825	1.825	6.5E-5	+7.8E-6	-7.8E-6
	1.875	1.875	1.875	6.54E-5	+7.19E-6	-7.19E-6
	1.925	1.925	1.925	5.74E-5	+6.89E-6	-6.89E-6
	1.975	1.975	1.975	5.03E-5	+6.54E-6	-6.54E-6
	2.05	2.05	2.05	4.09E-5	+3.68E-6	-3.68E-6
	2.15	2.15	2.15	4.12E-5	+3.71E-6	-3.71E-6
	2.25	2.25	2.25	3.37E-5	+3.03E-6	-3.03E-6
	2.35	2.35	2.35	3.11E-5	+2.8E-6	-2.8E-6
	2.45	2.45	2.45	2.48E-5	+2.23E-6	-2.23E-6
	2.55	2.55	2.55	2.07E-5	+2.07E-6	-2.07E-6
	2.65	2.65	2.65	1.74E-5	+1.74E-6	-1.74E-6
	2.75	2.75	2.75	1.31E-5	+1.44E-6	-1.44E-6
	2.85	2.85	2.85	1.12E-5	+1.34E-6	-1.34E-6
	2.95	2.95	2.95	1.06E-5	+1.27E-6	-1.27E-6
	3.05	3.05	3.05	7.2E-6	+9.36E-7	-9.36E-7
	3.15	3.15	3.15	5.63E-6	+7.88E-7	-7.88E-7
	3.25	3.25	3.25	5.64E-6	+7.9E-7	-7.9E-7
	3.35	3.35	3.35	5.43E-6	+8.14E-7	-8.14E-7
	3.45	3.45	3.45	3.13E-6	+5.63E-7	-5.63E-7
	3.55	3.55	3.55	3.27E-6	+5.89E-7	-5.89E-7
	3.65	3.65	3.65	2.86E-6	+5.43E-7	-5.43E-7
	3.75	3.75	3.75	2.48E-6	+4.96E-7	-4.96E-7
	3.85	3.85	3.85	2.72E-6	+4.9E-7	-4.9E-7
	3.95	3.95	3.95	1.62E-6	+3.89E-7	-3.89E-7
	4.05	4.05	4.05	1.03E-6	+3.19E-7	-3.19E-7
	4.15	4.15	4.15	1.29E-6	+3.48E-7	-3.48E-7
	4.25	4.25	4.25	7.82E-7	+2.5E-7	-2.5E-7
	4.35	4.35	4.35	6.91E-7	+2.56E-7	-2.56E-7
	4.45	4.45	4.45	5.88E-7	+2.18E-7	-2.18E-7
	4.6	4.6	4.6	3.56E-7	+1.21E-7	-1.21E-7
	4.8	4.8	4.8	2.83E-7	+1.1E-7	-1.1E-7
	5.0	5.0	5.0	2.62E-7	+1.23E-7	-1.23E-7
	5.2	5.2	5.2	1.75E-7	+8.05E-8	-8.05E-8
	5.4	5.4	5.4	1.6E-7	+8.32E-8	-8.32E-8
	5.75	5.75	5.75	1.28E-8	+4.74E-9	-4.74E-9
	6.25	6.25	6.25	3.2E-8	+2.27E-8	-2.27E-8

