#: table_doi: 10.17182/hepdata.94264.v1/t1
#: name: Figure 8
#: description: Differential fiducial cross section for CEP of $\pi^+\pi^-$ pairs as a function of the invariant mass of the pair.

Systematic uncertainties assigned to data points are strongly correlated between bins and should be treated as allowed collective variation of all data points. There are two components of the total systematic uncertainty. The systematic uncertainty related to the experimental tools and analysis method is labeled "syst. (experimental)". The systematic uncertainty related to the integrated luminosity (fully correlated between all data points) is labeled "syst. (luminosity)".

Fiducial region definition:
 * central state $\pi^+$, $\pi^-$
	- $p_{\mathrm{T}} > 0.2~\mathrm{GeV}$
	- $|\eta| < 0.7$
 * intact forward-scattered beam protons $p'$
	- $p_x > -0.2~\mathrm{GeV}$
	- $0.2~\mathrm{GeV} < |p_{y}| < 0.4~\mathrm{GeV}$
	- $(p_x+0.3~\mathrm{GeV})^2 + p_y^2 < 0.25~\mathrm{GeV}^2$
#: data_file: figure_8.yaml
#: keyword reactions: P P --> P PI+ PI- P
#: keyword observables: DSIG/DM
#: keyword cmenergies: 200
#: keyword phrases: Exclusive | Diffractive | Cross Section | Proton-Proton Scattering | Single Differential Cross Section
#: SQRT(S) [GeV],,,200
#: LUMINOSITY [$pb^{-1}$],,,14.2
#: RE,,,P P --> P PI+ PI- P
M(PI+PI-) [GEV],M(PI+PI-) [GEV] LOW,M(PI+PI-) [GEV] HIGH,DSIG/DM [NB/GEV],stat. +,stat. -,syst. (luminosity) +,syst. (luminosity) -,syst. (experimental) +,syst. (experimental) -
1.775,1.75,1.8,1.2335,0.15638,-0.15638,0.078737,-0.069823,0.086937,-0.079803
1.8250000000000002,1.8,1.85,1.2658,0.15968,-0.15968,0.080793,-0.071647,0.095911,-0.087958
1.875,1.85,1.9,1.6788,0.18397,-0.18397,0.10716,-0.095028,0.12795,-0.1178
1.9249999999999998,1.9,1.95,1.357,0.1609,-0.1609,0.08662,-0.076814,0.11278,-0.10202
1.975,1.95,2.0,1.8297,0.17643,-0.17643,0.11679,-0.10357,0.14298,-0.13044
2.025,2.0,2.05,1.7762,0.18476,-0.18476,0.11338,-0.10054,0.14045,-0.12588
2.075,2.05,2.1,1.8324,0.18004,-0.18004,0.11696,-0.10372,0.13396,-0.12378
2.125,2.1,2.15,2.2347,0.19593,-0.19593,0.14264,-0.12649,0.17508,-0.15959
2.175,2.15,2.2,2.1145,0.19136,-0.19136,0.13497,-0.11969,0.16966,-0.15396
2.225,2.2,2.25,1.6488,0.16279,-0.16279,0.10524,-0.093329,0.12436,-0.11335
2.275,2.25,2.3,1.4855,0.1593,-0.1593,0.094816,-0.084082,0.12735,-0.11338
2.325,2.3,2.35,1.4567,0.15833,-0.15833,0.092978,-0.082452,0.10971,-0.10165
2.375,2.35,2.4,1.001,0.13989,-0.13989,0.063894,-0.05666,0.085412,-0.075649
2.425,2.4,2.45,1.1779,0.14622,-0.14622,0.075187,-0.066676,0.10025,-0.091259
2.475,2.45,2.5,1.1536,0.14345,-0.14345,0.073633,-0.065298,0.10055,-0.091685
2.525,2.5,2.55,0.80608,0.11542,-0.11542,0.051452,-0.045627,0.068756,-0.062626
2.575,2.55,2.6,0.79822,0.11011,-0.11011,0.05095,-0.045182,0.058463,-0.052478
2.625,2.6,2.65,0.57169,0.09752,-0.09752,0.036491,-0.03236,0.043145,-0.039675
2.675,2.65,2.7,0.6275,0.099412,-0.099412,0.040053,-0.035519,0.054631,-0.049997
2.725,2.7,2.75,0.46295,0.085221,-0.085221,0.02955,-0.026205,0.03474,-0.031873
2.775,2.75,2.8,0.51292,0.096081,-0.096081,0.03274,-0.029033,0.046957,-0.042344
2.825,2.8,2.85,0.44243,0.082386,-0.082386,0.02824,-0.025043,0.034028,-0.031701
2.875,2.85,2.9,0.36075,0.076587,-0.076587,0.023027,-0.02042,0.030646,-0.026584
2.925,2.9,2.95,0.2774,0.061625,-0.061625,0.017706,-0.015702,0.017232,-0.015789
2.975,2.95,3.0,0.18183,0.054366,-0.054366,0.011606,-0.010292,0.01447,-0.013172
3.05,3.0,3.1,0.25467,0.042691,-0.042691,0.016256,-0.014415,0.022511,-0.019901
3.1500000000000004,3.1,3.2,0.15703,0.034742,-0.034742,0.010023,-0.0088884,0.011487,-0.01059
3.25,3.2,3.3,0.087419,0.025978,-0.025978,0.0055799,-0.0049482,0.0053018,-0.004933
3.3499999999999996,3.3,3.4,0.062362,0.02204,-0.02204,0.0039806,-0.0035299,0.0048502,-0.0041531
3.45,3.4,3.5,0.10486,0.027649,-0.027649,0.0066931,-0.0059354,0.0084872,-0.0077543

